Genotype,species,treatment,p1,p2,p3,g1,g2,g3,e1,e2,e3,fvfm1,fvfm2,fvfm3
BEL,S. tuberosum 4x,T1,17.4,14.155,11.58,1.2958,0.472,0.4698,7.73,4.1453,4.88,0.7688,0.7659,0.7534
BGB009,S. commersonii,T1,15.8,16.3,12.9,0.781,0.558,0.428,6.56,5.04,5.13,0.7627,0.7461,0.7289
BGB045,S. commersonii,T1,10.3,10.6,11.4,0.504,0.482,0.589,6.24,4.8,5.85,0.7538,0.7426,0.7488
BGB083,S. chacoense,T1,5.88,11.8,2.15,0.596,0.432,0.0507,6.61,4.68,1.16,0.7355,0.7426,0.7163
BGB086,S. chacoense,T1,10.1875,8.4575,8.5025,0.6498,0.2665,0.244,5.0075,3.4725,3.7425,0.7691,0.7601,0.7604
BGB088,S. tuberosum 2x,T1,10.3,8.82,7.12,0.821,0.145,0.23,6.2,2.38,3.64,0.7579,0.7497,0.7247
BGB089,S. tuberosum 2x,T1,13,8.47,8.12,0.964,0.224,0.188,7.08,3.26,3.25,0.76,0.7605,0.7084
BGB091,S. tuberosum 2x,T1,9.78,16.1,16.4,0.288,0.546,0.493,4.34,5.15,5.52,0.7738,0.7434,0.7146
BGB093,S. tuberosum 2x,T1,15.3,5.54,4.24,1.04,0.0668,0.0862,7.95,1.33,1.81,0.7779,0.7698,0.7249
BGB096,S. chacoense,T1,14.9,14.2,9.59,0.71,0.325,0.352,7.01,4.07,4.73,0.727,0.736,0.7283
BGB098,S. chacoense,T1,13.6,1.15,6.46,0.674,0.0198,0.232,6.63,0.433,3.69,0.78,0.7561,0.7227
BGB101,S. chacoense,T1,13.7,15.9,10.2,0.481,0.445,0.314,5.64,4.6,4.3,0.7786,0.7677,0.7447
BGB102,S. chacoense,T1,8.11,0.876,2.98,0.24,0.0297,0.0892,4,0.647,1.84,0.7659,0.7479,0.7483
BGB103,S. chacoense,T1,8.37,14.1,5.72,0.308,0.48,0.363,4.51,4.78,4.64,0.7825,0.739,0.7531
BGB107,S. chacoense,T1,10.6,9.86,10.9,1.68,0.182,0.287,9.68,2.83,4.13,0.7705,0.7493,0.7523
BGB109,S. chacoense,T1,16,1.59,4.23,0.19,0.0354,0.0787,7.32,0.732,1.69,0.7597,0.7609,0.7305
BGB113,S. chacoense,T1,7.87,10.3,15.3,0.237,0.197,0.634,3.81,2.95,6.33,0.7714,0.7477,0.7303
BGB444,S. chacoense,T1,9.8665,9.05,4.92,0.4783,0.2975,0.152,5.7075,3.7325,2.7625,0.7635,0.7592,0.7413
BGB451,S. commersonii,T1,10.2,5.76,7.15,0.475,0.0688,0.237,5.59,1.35,3.7,0.7437,0.7598,0.7222
BGB467,S. chacoense,T1,10.1,6.99,5.48,0.567,0.175,0.114,6.15,2.8,2.22,0.7854,0.7761,0.769
BGB472,S. chacoense,T1,11.7,8.34,4.38,0.506,0.171,0.163,5.77,2.74,2.94,0.753,0.7639,0.7707
BEL,S. tuberosum 4x,T2,18.725,15.95,14.81,1.129,0.3285,0.2026,10.0325,6.7725,5.6288,0.7508,0.7485,0.7475
BGB009,S. commersonii,T2,15.9,17.6,14.2,0.45,0.4,0.176,7.3,8.38,5.48,0.7539,0.7369,0.7312
BGB045,S. commersonii,T2,13.5,13.6,8.3,0.177,0.363,0.103,4.5,6.98,3.48,0.7341,0.7477,0.7479
BGB083,S. chacoense,T2,4.67,6.84,4.71,0.0175,0.05,0.0205,0.643,1.79,0.84,0.7352,0.7353,0.7308
BGB086,S. chacoense,T2,10.8325,13.4925,9.2825,0.293,0.2875,0.1029,4.6025,5.855,3.485,0.7602,0.7408,0.7472
BGB088,S. tuberosum 2x,T2,8.38,14.9,13.8,0.066,0.356,0.245,2.11,7.11,6.48,0.748,0.7069,0.751
BGB089,S. tuberosum 2x,T2,2.78,16,14.4,0.022,0.626,0.17,0.832,9.25,5.51,0.7247,0.7209,0.7102
BGB091,S. tuberosum 2x,T2,18.7,19.1,14.8,0.471,0.414,0.238,8.27,8.38,6.21,0.7545,0.7292,0.6822
BGB093,S. tuberosum 2x,T2,5.34,18.7,12,0.018,0.664,0.187,0.624,10.2,5.49,0.747,0.7433,0.747
BGB096,S. chacoense,T2,9.1,9.85,6.15,0.072,0.135,0.0587,2.28,4.25,2.29,0.7044,0.7107,0.7186
BGB098,S. chacoense,T2,13.3,15.7,7.96,0.24,0.368,0.0518,5.38,7.45,2.07,0.7462,0.7425,0.7388
BGB101,S. chacoense,T2,19,19.2,13,0.478,0.624,0.121,7.88,9.57,4.24,0.7518,0.742,0.7427
BGB102,S. chacoense,T2,2.6,7.49,9.12,0.016,0.0381,0.106,0.697,1.36,3.77,0.7614,0.705,0.7043
BGB103,S. chacoense,T2,7.12,12.9,6.86,0.0253,0.163,0.0828,0.902,4.63,3.04,0.7645,0.7318,0.7281
BGB107,S. chacoense,T2,6.01,15.4,12.5,0.0371,0.256,0.167,1.25,6.2,4.88,0.7251,0.7152,0.6008
BGB109,S. chacoense,T2,2.88,19.8,9.16,0.004,0.65,0.0606,0.202,9.61,2.32,0.7515,0.763,0.7531
BGB113,S. chacoense,T2,6.35,10.8,4.52,0.21,0.0449,0.021,0.735,1.78,0.901,0.7015,0.685,0.6547
BGB444,S. chacoense,T2,5.75,9.4575,6.375,0.0244,0.0943,0.0668,0.8398,2.6625,2.4003,0.7545,0.7385,0.7163
BGB451,S. commersonii,T2,5.73,9.05,5.19,0.0209,0.04,0.0219,0.76,1.52,0.962,0.7437,0.7316,0.7066
BGB467,S. chacoense,T2,5.4,15.2,8.51,0.02,0.315,0.0588,0.717,6.66,2.29,0.7603,0.7499,0.7423
BGB472,S. chacoense,T2,7.15,9.5,7.32,0.039,0.0529,0.0417,1.34,1.84,1.75,0.7536,0.7577,0.7564